Município;latitude;longitude
Abaiara;-7.34588;-39.0416
Acarape;-4.22083;-38.7054
Acaraú;-2.8857;-40.1182
Acopiara;-6.09769;-39.448
Aiuaba;-6.57122;-40.1171
Alcântaras;-3.58538;-40.5472
Altaneira;-6.99806;-39.7358
Alto Santo;-5.51864;-38.2743
Amontada;-3.36005;-39.8288
Antonina do Norte;-6.7695;-39.9867
Apuiarés;-3.94587;-39.4354
Aquiraz;-3.90139;-38.3911
Aracati;-4.55856;-37.7677
Aracoiaba;-4.36873;-38.812
Ararendá;-4.74568;-40.8309
Araripe;-7.2132;-40.1351
Aratuba;-4.41221;-39.0483
Arneiroz;-6.31699;-40.1655
Assaré;-6.86558;-39.868
Aurora;-6.93349;-38.974
Baixio;-6.71907;-38.7139
Banabuiú;-5.30454;-38.9132
Barbalha;-7.31137;-39.3024
Barreira;-4.288;-38.6426
Barro;-7.17188;-38.7744
Barroquinha;-3.02051;-41.1358
Baturité;-4.32598;-38.8816
Beberibe;-4.17741;-38.1271
Bela Cruz;-3.04996;-40.1675
Boa Viagem;-5.11803;-39.7323
Brejo Santo;-7.4846;-38.9794
Camocim;-2.9005;-40.8413
Campos Sales;-7.06751;-40.3727
Canindé;-4.35162;-39.3126
Capistrano;-4.45547;-38.9048
Caridade;-4.2252;-39.2039
Cariré;-3.94857;-40.4765
Caririaçu;-7.02808;-39.2828
Cariús;-6.5245;-39.4937
Carnaubal;-4.15814;-40.9493
Cascavel;-4.13489;-38.2412
Catarina;-6.12295;-39.8732
Catunda;-4.64316;-40.2018
Caucaia;-3.73665;-38.6531
Cedro;-6.60034;-39.0603
Chaval;-3.03507;-41.2435
Choró;-4.83915;-39.1347
Chorozinho;-4.28861;-38.5001
Coreaú;-3.54154;-40.6584
Crateús;-5.16768;-40.6537
Crato;-7.22996;-39.4096
Croatá;-4.40481;-40.9022
Cruz;-2.9186;-40.1759
Deputado Irapuan Pinheiro;-5.90908;-39.2587
Ererê;-6.02751;-38.3466
Eusébio;-3.89249;-38.4556
Farias Brito;-6.92018;-39.5651
Forquilha;-3.79903;-40.2634
Fortaleza;-3.71722;-38.5433
Fortim;-4.45126;-37.7982
Frecheirinha;-3.75503;-40.8202
General Sampaio;-4.04351;-39.4542
Graça;-4.04421;-40.7496
Granja;-3.12763;-40.8372
Granjeiro;-6.88123;-39.2143
Groaíras;-3.91849;-40.3856
Guaiúba;-4.04057;-38.6407
Guaraciaba do Norte;-4.16682;-40.7473
Guaramiranga;-4.26274;-38.932
Hidrolândia;-4.40905;-40.4059
Horizonte;-4.0925;-38.4856
Ibaretama;-4.80376;-38.7504
Ibiapina;-3.92414;-40.891
Ibicuitinga;-4.96956;-38.6366
Icapuí;-4.71234;-37.3538
Icó;-6.39694;-38.8621
Iguatu;-6.36228;-39.2985
Independência;-5.39431;-40.3086
Ipaporanga;-4.90152;-40.7538
Ipaumirim;-6.78729;-38.7175
Ipu;-4.32406;-40.7057
Ipueiras;-4.53802;-40.7185
Iracema;-5.8125;-38.2918
Irauçuba;-3.74765;-39.7846
Itaiçaba;-4.67146;-37.8305
Itaitinga;-3.96724;-38.5286
Itapagé;-3.68613;-39.585
Itapipoca;-3.49942;-39.583
Itapiúna;-4.55516;-38.9285
Itarema;-2.9245;-39.9163
Itatira;-4.52608;-39.6202
Jaguaretama;-5.60504;-38.7639
Jaguaribara;-5.67938;-38.5351
Jaguaribe;-5.90258;-38.6227
Jaguaruana;-4.83145;-37.781
Jardim;-7.57583;-39.282
Jati;-7.67974;-39.0027
Jijoca de Jericoacoara;-2.79331;-40.5196
Juazeiro do Norte;-7.1961;-39.3076
Jucás;-6.51524;-39.5246
Lavras da Mangabeira;-6.74463;-38.9675
Limoeiro do Norte;-5.14545;-38.0965
Madalena;-4.85171;-39.5722
Maracanaú;-3.87605;-38.6251
Maranguape;-3.89143;-38.6824
Marco;-3.12753;-40.1583
Martinópole;-3.2252;-40.6897
Massapê;-3.52364;-40.3423
Mauriti;-7.38339;-38.7702
Meruoca;-3.54023;-40.453
Milagres;-7.29749;-38.9385
Milhã;-5.67364;-39.1875
Miraíma;-3.56843;-39.9662
Missão Velha;-7.23522;-39.1435
Mombaça;-5.73844;-39.6294
Monsenhor Tabosa;-4.79161;-40.0643
Morada Nova;-5.09775;-38.3705
Moraújo;-3.46817;-40.6776
Morrinhos;-3.23426;-40.1248
Mucambo;-3.9026;-40.7464
Mulungu;-4.30213;-38.9951
Nova Olinda;-7.08476;-39.6747
Nova Russas;-4.70519;-40.5633
Novo Oriente;-5.52558;-40.775
Ocara;-4.48571;-38.59
Orós;-6.25182;-38.905
Pacajus;-4.17163;-38.465
Pacatuba;-3.97843;-38.6189
Pacoti;-4.22456;-38.924
Pacujá;-3.98379;-40.6999
Palhano;-4.73664;-37.9656
Palmácia;-4.13831;-38.846
Paracuru;-3.41;-39.03
Paraipaba;-3.43937;-39.1471
Parambu;-6.20769;-40.6913
Paramoti;-4.09343;-39.2361
Pedra Branca;-5.45341;-39.7161
Penaforte;-7.8238;-39.0707
Pentecoste;-3.79138;-39.2704
Pereiro;-6.03576;-38.4628
Pindoretama;-4.01501;-38.3011
Piquet Carneiro;-5.80067;-39.4161
Pires Ferreira;-4.23949;-40.6437
Poranga;-4.7464;-40.9206
Porteiras;-7.52321;-39.1147
Potengi;-7.09128;-40.0275
Potiretama;-5.71287;-38.157
Quiterianópolis;-5.84657;-40.7008
Quixadá;-4.96817;-39.015
Quixelô;-6.24622;-39.2015
Quixeramobim;-5.19931;-39.2895
Quixeré;-5.07104;-37.9804
Redenção;-4.22199;-38.7272
Reriutaba;-4.14141;-40.5807
Russas;-4.94086;-37.9731
Saboeiro;-6.53451;-39.9017
Salitre;-7.28397;-40.4504
Santa Quitéria;-4.32688;-40.152
Santana do Acaraú;-3.46177;-40.2114
Santana do Cariri;-7.1766;-39.7304
São Benedito;-4.04885;-40.859
São Gonçalo do Amarante;-3.60534;-38.9686
São João do Jaguaribe;-5.27505;-38.2691
São Luís do Curu;-3.66965;-39.238
Senador Pompeu;-5.58296;-39.3704
Senador Sá;-3.35305;-40.466
Sobral;-3.6902;-40.3482
Solonópole;-5.71894;-39.007
Tabuleiro do Norte;-5.24351;-38.1287
Tamboril;-4.83116;-40.3209
Tarrafas;-6.68792;-39.7533
Tauá;-5.99805;-40.2919
Tejuçuoca;-3.9887;-39.5796
Tianguá;-3.72928;-40.9923
Trairi;-3.27558;-39.2655
Tururu;-3.58464;-39.4332
Ubajara;-3.86741;-40.9207
Umari;-6.63975;-38.705
Umirim;-3.67972;-39.3465
Uruburetama;-3.62343;-39.5092
Uruoca;-3.30875;-40.5588
Varjota;-4.19352;-40.4747
Várzea Alegre;-6.78263;-39.2941
Viçosa do Ceará;-3.56694;-41.0917